,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
0,2023-01-10 16:00:00,1341.97,1343.21,1338.76,1339.01,14307.3162,2023-01-10 16:59:59.999,19181348.763488,22037.0,6124.8915,8211221.885114,0.0
1,2023-01-10 17:00:00,1339.0,1339.45,1334.45,1334.46,11972.083,2023-01-10 17:59:59.999,16013466.163446,15000.0,5275.1769,7056735.068129,0.0
2,2023-01-10 18:00:00,1334.45,1338.17,1333.8,1335.62,15877.9167,2023-01-10 18:59:59.999,21207560.676426,14931.0,7851.1265,10486407.014158,0.0
3,2023-01-10 19:00:00,1335.63,1340.39,1334.3,1337.75,12866.9554,2023-01-10 19:59:59.999,17199322.805299,16923.0,7485.0197,10006709.922769,0.0
4,2023-01-10 20:00:00,1337.75,1341.5,1335.0,1337.92,12027.7192,2023-01-10 20:59:59.999,16088175.149622,14102.0,5680.3588,7598183.215198,0.0
5,2023-01-10 21:00:00,1337.92,1338.45,1330.14,1330.2,16051.7099,2023-01-10 21:59:59.999,21406404.212611,16836.0,6990.8897,9323375.783411,0.0
6,2023-01-10 22:00:00,1330.21,1332.09,1327.29,1331.07,19393.3591,2023-01-10 22:59:59.999,25797577.473874,17863.0,8419.8922,11200746.056581,0.0
7,2023-01-10 23:00:00,1331.07,1332.41,1329.0,1330.56,9040.1825,2023-01-10 23:59:59.999,12029883.221494,13541.0,3484.7382,4637636.662101,0.0
8,2023-01-11 00:00:00,1330.56,1334.17,1329.92,1330.87,6772.5078,2023-01-11 00:59:59.999,9024477.3466,12078.0,3599.2178,4796042.837141,0.0
9,2023-01-11 01:00:00,1330.87,1333.88,1327.19,1333.51,16196.4637,2023-01-11 01:59:59.999,21567374.262512,20251.0,8020.7431,10680913.866256,0.0
10,2023-01-11 02:00:00,1333.51,1335.7,1332.73,1335.52,9480.8077,2023-01-11 02:59:59.999,12652326.758817,13565.0,5382.888,7183811.0451,0.0
11,2023-01-11 03:00:00,1335.53,1335.77,1331.39,1334.67,12381.6658,2023-01-11 03:59:59.999,16507608.327891,20083.0,5594.1477,7457593.094314,0.0
12,2023-01-11 04:00:00,1334.67,1337.69,1334.41,1335.13,7281.7099,2023-01-11 04:59:59.999,9725332.355228,12446.0,4488.2392,5994384.00324,0.0
13,2023-01-11 05:00:00,1335.12,1338.2,1334.38,1336.13,7356.814,2023-01-11 05:59:59.999,9829275.380176,12690.0,4197.2974,5608008.211294,0.0
14,2023-01-11 06:00:00,1336.13,1338.06,1334.0,1336.45,14232.1779,2023-01-11 06:59:59.999,19016602.334716,15136.0,6926.5783,9253386.078333,0.0
15,2023-01-11 07:00:00,1336.44,1336.45,1332.0,1332.47,9052.0538,2023-01-11 07:59:59.999,12072944.888119,15282.0,3705.2381,4941166.361925,0.0
16,2023-01-11 08:00:00,1332.48,1335.72,1329.78,1333.26,8561.6252,2023-01-11 08:59:59.999,11407335.843598,15629.0,4247.656,5659939.297845,0.0
17,2023-01-11 09:00:00,1333.27,1334.65,1328.66,1332.51,14291.4935,2023-01-11 09:59:59.999,19032714.254341,23694.0,7390.5479,9841527.521542,0.0
18,2023-01-11 10:00:00,1332.51,1334.98,1321.04,1323.04,27697.1144,2023-01-11 10:59:59.999,36724413.700002,27993.0,12447.9762,16504422.205769,0.0
19,2023-01-11 11:00:00,1323.05,1327.34,1321.86,1325.01,14253.3807,2023-01-11 11:59:59.999,18890427.244164,19027.0,7973.1878,10566829.61903,0.0
20,2023-01-11 12:00:00,1325.0,1329.19,1324.43,1327.57,7434.5155,2023-01-11 12:59:59.999,9868916.063398,13809.0,3071.458,4076926.52767,0.0
21,2023-01-11 13:00:00,1327.57,1345.0,1327.52,1337.72,38723.7337,2023-01-11 13:59:59.999,51839332.328566,35669.0,19417.4484,25988735.546264,0.0
22,2023-01-11 14:00:00,1337.72,1344.56,1335.14,1342.92,22737.1782,2023-01-11 14:59:59.999,30503763.105658,25735.0,11607.2148,15573141.206367,0.0
23,2023-01-11 15:00:00,1342.91,1345.0,1340.44,1341.56,23701.0094,2023-01-11 15:59:59.999,31811103.255551,21595.0,12123.4583,16273670.143536,0.0
